,ISBN,result,price_paperback,price_hardcover,Name,Publisher,CountsOfReview,PublishYear,Authors,Rating,Description,Count of text reviews,PagesNumber,RatingDistTotal_split,RatingDist1_final,RatingDist2_final,RatingDist3_final,RatingDist4_final,RatingDist5_final
1834,0898798612,"(['  Kindle  \n $10.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $15.00  \n\n\n   \n     31 Used from $3.75         3 New from $12.00         3 Collectible from $7.00      ', '  Paperback  \n $17.45 - $24.97  \n\n\n   \n     6 Used from $17.45         4 New from $24.97      '], '0898798612')",17.45,15.0,Word Painting Word Painting: A Guide to Writing More Descriptively,Writer's Digest Books,2,1999,Rebecca McClanahan,4.06,"In this guide, Rebecca McClanahan leads readers through an exploration of the descriptive writing process, combining direct instruction with word exercises that challenge readers to elevate their writing to new levels of richness and clarity.'",,250.0,615,9,29,130,195,252
1836,3499102153,"(['  Kindle  \n $21.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $13.83  \n\n\n   \n     8 Used from $9.85         1 Collectible from $23.77      ', '  Paperback  \n $5.56  \n\n\n   \n     7 Used from $5.56      '], '3499102153')",5.56,13.83,Don Camillo und Peppone,Rowohlt,0,1957,Giovannino Guareschi,4.22,"Kein Wunder, daß dieser (mit dem unvergeßlichen Fernandel verfilmte) Roman eines der erfolgreichsten Bücher unserer Zeit wurde. In einer Epoche unmenschlicher Kämpfe zwischen den Ideologien versöhnen die pointenknisternden Erlebnisse eines rauflustigen Landpfarrers und seines hitzköpfigen politischen Rivalen durch ihre verblüffende Komik und verschmitzte Lebensklugheit. Die politischen Konflikte im heutigen Italien bezeugen erneut die zeitlose Aktualität dieses Bestsellers der Weltliteratur.",,256.0,2992,21,85,480,1034,1372
1837,1407104993,"(['  Kindle  \n $3.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $5.99  \n\n\n   \n     24 Used from $1.71         6 New from $32.02      ', '  Paperback  \n $25.00  \n\n\n   \n     15 Used from $0.01         1 New from $25.00      ', '  Preloaded Digital Audio Player  \n $14.95  \n\n\n   \n     1 Used from $14.95      '], '1407104993')",25.0,5.99,Ways to Live Forever,Marion Lloyd Books,701,2008,Sally Nicholls,4.19,"""My name is Sam. I am eleven years old. I collect stories and fantastic facts. By the time you read this, I will probably be dead."" <br /><br />Sam loves facts. He wants to know about UFOs and horror movies and airships and ghosts and scientists, and how it feels to kiss a girl. And because he has leukaemia he wants to know the facts about dying. Sam needs answers to the questions nobody will answer. ""Ways To Live Forever"" is the first novel from an extraordinarily talented young writer. Funny and honest, it is one of the most powerful and uplifting books you will ever read.",,215.0,7002,49,222,1125,2578,3028
1839,0373073003,"(['  Kindle  \n $6.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $19.77  \n\n\n   \n     137 Used from $0.99         18 New from $4.84         4 Collectible from $9.99      ', '  Paperback  \n    \n                             from $20.01                \n\n\n   \n     1 Used from $20.01      ', '  Mass Market Paperback  \n $8.99  \n\n\n   \n     24 Used from $1.68         1 New from $8.99         1 Collectible from $24.95      ', '  MP3 CD  \n $9.99  \n\n\n   \n     4 New from $8.76      '], '0373073003')",8.99,19.77,Gabriel's Angel,Silhouette,2,1989,Nora Roberts,3.89,"<b>ON THE RUN…</b><br />No one was going to take her child away from her! Pregnant and alone, Laura Malone had been on the move for months. Finding herself snowbound with an angry, impatient Gabriel Bradley was not part of her plans.<br /><br />Gabe wanted to be alone. He'd come to the isolated cabin to think, to work and to heal. But when a woman crashed into his life --literally-- he'd felt obliged to help. Laura was everything a man could ever want and all that he desired. She trusted him, but Gabe was hard put to be an angel when Laura felt like heaven in his arms.",,250.0,7448,116,509,1962,2330,2531
1840,0385488947,"(['  Kindle  \n $5.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $5.45  \n\n\n   \n     19 Used from $5.45         3 Collectible from $15.00      ', '  Paperback  \n $33.51  \n\n\n   \n     10 Used from $2.34         7 New from $29.51      ', '  Mass Market Paperback  \n $7.99  \n\n\n   \n     44 Used from $1.67         3 New from $7.99         1 Collectible from $3.88      '], '0385488947')",33.51,5.45,Eleven Days,Doubleday,7,1998,Donald Harstad,3.84,"Reflecting 26 years as a deputy sheriff in northeastern Iowa, Donald Harstad's first book, a topnotch thriller about an Iowa deputy sheriff named Carl Houseman, is full of convincing details of everyday police work and is told in such a droll, natural voice that you'll swear you've met both author and hero. ""When I got home, Sue was a little angry,"" Houseman says about his wife. ""I'd neglected to leave her a note about the meeting. Consequently, supper had turned out to be a problem. She'd taken care of it by making a taco-type soup, so it was still warm when I got there. She'd eaten."" In other hands, the story (a series of ritual murders, a Satanic cult, the possible involvement of a local clergyman) might seem over the top. But Harstad's dead-on, no-nonsense manner makes it all very convincing--and extremely readable. <i>--Dick Adler</i>",,304.0,937,24,52,236,366,259
1841,0345496302,"(['  Kindle  \n $13.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $24.00  \n\n\n   \n     95 Used from $1.45         12 New from $18.54         4 Collectible from $11.95      ', '  Paperback  \n $15.99  \n\n\n   \n     157 Used from $1.66         36 New from $8.95         3 Collectible from $12.00      ', '  Audio CD  \n $45.26  \n\n\n   \n     5 Used from $45.26         2 New from $85.64      '], '0345496302')",15.99,24.0,"The Spectrum: A Scientifically Proven Program to Feel Better, Live Longer, Lose Weight, and Gain Health",Ballantine Books,71,2007,Dean Ornish,3.81,"<p>In <b>THE SPECTRUM</b>, Dr. Ornish shows us how to personalize a way of eating and a way of living based on your own health goals, needs, and preferences. Here’s how it works:<br /><br />Since <b>THE SPECTRUM</b> is about freedom of choice, there is no diet to get on and no diet to get off. Nothing is forbidden. No guilt, no shame, no pressure. <b>THE SPECTRUM</b> is based on love–joy of living, not fear of dying. Feeling better, not denying yourself pleasure. <br /><br />First, determine your health and wellness goals. Do you want to lose weight? Do you have high cholesterol? Is diabetes a problem in your family? Based on your individual needs and goals, <b>THE SPECTRUM</b> has examples of six individually tailored lifestyle programs ideally suited for you: lowering cholesterol, losing weight, lowering blood pressure, preventing/reversing diabetes, preventing/reversing certain types of prostate and breast cancer, preventing/reversing heart disease.</p>",,400.0,835,25,58,198,322,232
1842,0552773468,"(['  Kindle  \n $4.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $48.00  \n\n\n   \n     6 Used from $35.82         4 New from $48.00      ', '  Paperback  \n $16.13  \n\n\n   \n     10 Used from $2.50         6 New from $9.23      ', '  Mass Market Paperback  \n $16.74  \n\n\n   \n     20 Used from $1.96         10 New from $9.64      ', '  Audio CD  \n $11.72  \n\n\n   \n     6 Used from $11.70      ', '  Pocket Book  \n $5.75  \n\n\n   \n     11 Used from $0.50         1 New from $19.99      '], '0552773468')",16.13,48.0,The Secret Dreamworld Of A Shopaholic (Shopaholic #1),Black Swan,14,2006,Sophie Kinsella,3.65,"Meet <b>Rebecca Bloomwood</b>.<br /><br />She has a great flat, a fabulous wardrobe full of the season's must-haves, and a job telling other people how to manage their money. She spends her leisure time ... shopping.<br /><br /><b>Retail therapy</b> is the answer to all her problems. She knows she should stop, but she can't. She tries <b>Cutting Back</b>, she tries <b>Making More Money</b>. But neither seems to work. The letters from the bank are getting harder to ignore. Can Becky ever escape from this dreamworld, find true love, and regain the use of her credit card?<br /><br /><b>The Secret Dreamworld of a Shopaholic</b>... the perfect pick-me-up for when it's all hanging in the (bank) balance.<br /><br /><b>
  <i>Everybody loves Sophie Kinsella:</i>
</b><br />""I almost cried with laughter"" <b>
  <i>Daily Mail</i>
</b><br /><b></b>""Hilarious . . . you'll laugh and gasp on every page"" <b>Jenny Colgan</b><br />""Properly mood-altering . . . funny, fast and farcical. I loved it"" <b>Jojo Moyes</b><br /><b></b>""A superb tale. Five stars!"" <i>
  <b>Heat</b>
</i>",,317.0,643848,33847,62289,176107,194311,177294
1843,0670738964,"(['  Kindle  \n $1.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $34.99  \n\n\n   \n     1 New from $34.99      ', '  Paperback  \n $17.99  \n\n\n   \n     1 New from $17.99      ', '  Mass Market Paperback  \n $6.45  \n\n\n   \n     9 Used from $2.48      '], '0670738964')",17.99,34.99,Uncharted Stars,New York: Viking,1,1969,Andre Norton,4.1,"Andre Norton. Uncharted Stars. New York: Viking, [1969]. First edition, first printing. Octavo. 253 pages.",,253.0,608,1,18,138,216,235
1845,1420927590,"(['  Kindle  \n $0.00  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $30.95  \n\n\n   \n     3 New from $30.95      ', '  Paperback  \n $6.71  \n\n\n   \n     2 Used from $6.49         10 New from $6.71      ', '  Mass Market Paperback  \n $6.08  \n\n\n   \n     18 Used from $1.99         2 New from $25.35      '], '1420927590')",6.71,30.95,The Clouds,Digireads.com,9,2006,Aristophanes,3.75,"The satire in this, one of the best known of all Aristophanes' comedies, is directed against the new schools of philosophy, or perhaps we should rather say dialectic, which had lately been introduced, mostly from abroad, at Athens. The doctrines held up to ridicule are those of the 'Sophists'-such men as Thrasymachus from Chalcedon in Bithynia, Gorgias from Leontini in Sicily, Protagoras from Abdera in Thrace, and other foreign scholars and rhetoricians who had flocked to Athens as the intellectual centre of the Hellenic world.-From the introduction to 'The Clouds' by Aristophanes.",,96.0,7298,159,642,2127,2276,2094
1847,0060094613,"(['  Kindle  \n $4.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $16.99  \n\n\n   \n     18 Used from $1.46         16 New from $12.70      ', '  Paperback  \n $4.99  \n\n\n   \n     89 Used from $0.53         17 New from $0.95         1 Collectible from $9.99      '], '0060094613')",4.99,16.99,Biscuit and the Baby,HarperCollins,34,2005,Alyssa Satin Capucilli,4.21,"<strong>For fans of Clifford and Spot, welcome everybody’s favorite little yellow puppy, Biscuit, in an I Can Read adventure!</strong><br /><br /><em>Woof, woof! Biscuit sees the baby.</em><br /><br />Biscuit wants to meet the new baby. But the baby is sleeping, and Biscuit must be patient—and quiet! Join Biscuit as he meets his brand new—itty bitty—friend.<br /><br /><em>Biscuit and the Baby,</em> a My First I Can Read book, is carefully crafted using basic language, word repetition, sight words, and sweet illustrations—which means it's perfect for shared reading with emergent readers.",,32.0,884,15,21,168,239,441
1852,0345282361,"(['  Kindle  \n $0.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $14.98  \n\n\n   \n     1 New from $14.98      ', '  Paperback  \n $3.89  \n\n\n   \n     1 New from $3.89      ', '  Mass Market Paperback  \n $3.09  \n\n\n   \n     5 Used from $2.50      ', '  Audio CD  \n $29.99  \n\n\n   \n     2 New from $15.99      '], '0345282361')",3.89,14.98,Glinda of Oz,Del Rey,0,1985,L. Frank Baum,3.93,"Adventures of Princess Ozma of Oz and Dorothy. Children's book Paperback, 288 pp., 6"" x 9""",,256.0,5826,56,250,1641,1975,1904
1854,0606290311,"(['  Kindle  \n $7.49  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $15.99  \n\n\n   \n     17 Used from $7.58         23 New from $12.61         3 Collectible from $89.95      ', '  Paperback  \n $7.99  \n\n\n   \n     37 Used from $2.32         27 New from $6.94      ', '  Mass Market Paperback  \n $9.99  \n\n\n   \n     18 Used from $3.92         22 New from $7.49         2 Collectible from $9.00      ', '  Audio CD  \n $9.99  \n\n\n   \n     13 Used from $3.60         8 New from $8.44      '], '0606290311')",7.99,15.99,Coraline,Turtleback Books,48,2002,Neil Gaiman,4.07,"The day after they moved in, Coraline went exploring.... In Coraline's family's new flat are twenty-one windows and fourteen doors. Thirteen of the doors open and close.<br /><br />The fourteenth is locked, and on the other side is only a brick wall, until the day Coraline unlocks the door to find a passage to another flat in another house just like her own.<br /><br />Only it's different.<br /><br />At first, things seem marvelous in the other flat. The food is better. The toy box is filled with wind-up angels that flutter around the bedroom, books whose pictures writhe and crawl and shimmer, little dinosaur skulls that chatter their teeth. But there's another mother, and another father, and they want Coraline to stay with them and be their little girl. They want to ""change"" her and never let her go.<br /><br />Other children are trapped there as well, lost souls behind the mirrors. Coraline is their only hope of rescue. She will have to fight with all her wits and all the tools she can find if she is to save the lost children, her ordinary life, and herself.<br /><br />Critically acclaimed and award-winning author Neil Gaiman will delight readers with his first novel for all ages.",,162.0,463919,9737,19060,84876,167146,183100
1858,0547014406,"(['  Kindle  \n $6.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $4.95  \n\n\n   \n     27 Used from $1.18         2 New from $34.99         1 Collectible from $5.00      ', '  Paperback  \n $7.99  \n\n\n   \n     94 Used from $1.17         22 New from $3.00      ', '  Audio CD  \n $24.99  \n\n\n   \n     2 New from $12.49      '], '0547014406')",7.99,4.95,Just Grace,HMH Books for Young Readers,23,2008,Charise Mericle Harper,3.74,"Grace loves cats. She also loves taking pictures of cats and drawing Not-So Super comics. She doesn’t like Sammy Stringer, a boy in her class. She’s got lots and lots of ideas, and when her neighbor’s cat goes missing, Grace does her best to make Mrs. Luther feel less lonely. But as the mystery of the missing cat continues, Grace’s well-intentioned plan backfires, and she finds herself in a bit of trouble. Maybe, just maybe, Sammy Stringer will help her through.<br />",,144.0,3040,131,281,830,804,994
1859,1423362276,"(['  Kindle  \n $8.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $13.93  \n\n\n   \n     87 Used from $1.95         14 New from $9.95         16 Collectible from $5.89      ', '  Paperback  \n $9.07  \n\n\n   \n     10 Used from $6.08         7 New from $13.92      ', '  Mass Market Paperback  \n $8.99  \n\n\n   \n     96 Used from $0.99         11 New from $4.99      ', '  Audio CD  \n    \n                             from $35.00                \n\n\n   \n     1 New from $35.00      '], '1423362276')",9.07,13.93,"Cerulean Sins (Anita Blake, Vampire Hunter, #11)",Brilliance Audio,3,2008,Laurell K. Hamilton,3.85,"With her New York Times bestselling Anita Blake, Vampire Hunter novels, Laurell K. Hamilton wraps readers up in stories of suspense and sensuality. Cerulean Sins is no exception. Now, Anita learns what it's like to be at the new end of a centuries-old bloodline - and just how far she’ll let herself get pushed around...<br /><br />How the mighty have fallen! Once a sworn enemy of all vampires, Anita is now the human consort of both Jean-Claude, the Master Vampire, and Micah, the leopard shapeshifter. But her love life doesn't stop there. It can't. For Anita - not quite as human as she once was - is consumed by both the lusts of the vampire and the primal hungers of the wereleopards. Desires that must be sated - time and time again...<br /><br />But it is Jean-Claude who needs her now. His oldest ancestor has sent one of her vicious and powerful underlings to St. Louis, putting Jean-Claude and his clan on the defensive. Unsure of where she stands with the interloper, Anita finds herself tested as never before - needing all the dark forces her passion can muster to save the ones she loves the most...",,5.0,47481,1525,4054,11173,13978,16751
1860,0670863580,"(['  Hardcover  \n $8.49  \n\n\n   \n     58 Used from $1.98         5 New from $19.80         11 Collectible from $4.24      ', '  Paperback  \n $13.17  \n\n\n   \n     55 Used from $1.20         5 New from $12.60         3 Collectible from $13.03      ', '  Audio CD  \n $99.95  \n\n\n   \n     1 New from $99.95      '], '0670863580')",13.17,8.49,Therapy,Viking Books,3,1995,David Lodge,3.77,"In his latest novel, the author of Nice Work extracts high and low comedy from the pain of a midlife crisis. The writer of a successful TV sitcom seems to have it all. But his money cannot buy contentment, and his quest for it will lead him into an obsession with Kierkegaard, a brush with the police, gossip-column notoriety, and strange beds and bedrooms worldwide.",,320.0,3420,43,209,981,1443,744
1861,0195036107,"(['  Kindle  \n $10.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $40.17  \n\n\n   \n     19 Used from $13.64         4 New from $40.17         2 Collectible from $16.95      ', '  Paperback  \n $14.80 - $19.95  \n\n\n   \n     81 Used from $3.50         18 New from $14.92         1 Collectible from $8.00      ', '  MP3 CD  \n $9.99  \n\n\n   \n     4 New from $8.76      '], '0195036107')",14.8,40.17,Crabgrass Frontier: The Suburbanization of the United States,"Oxford University Press, USA",0,1985,Kenneth T. Jackson,3.97,"In America, in contrast to almost anywhere else in the world, the good life means traveling a long distance to get to work. How and why this came to be our cultural norm is the subject of this long-awaited book.<br /> Because more than two-thirds of all dwellings are single family homes surrounded by an ornamental yard, suburbia is the most distinctive physical characteristic of modern American society. Crabgrass Frontier is the first book to trace the growth of suburbs in America from their origins in the 1820's--in Brooklyn Heights opposite Manhattan--until the present day. Combining social history with economic and architectural history, the book discusses suburban communities in every section of the country as well as making comparisons with Europe and Japan.<br /> Jackson considers such intriguing questions as why transportation technology changed the shape of American cities more than European ones, why the family room and the television set replaced the stoop and the street as the focus of social interaction, how the evolution of the garage reflected increasing affection for the automobile, how federal housing programs undermined inner city neighborhoods, and how government policies insured the collapse of the nation's once superb mass transit system. The book shows not only that Americans have long preferred a detached dwelling to a row house, rural life to city life, and owning to renting, but also that suburbanization has been as much a governmental as a natural process.<br /> About the Author <br /> Kenneth T. Jackson is a Professor of History at Columbia University and the author of The Ku Klux Klan in the City.",,432.0,1636,20,82,345,668,521
1865,0140012796,"(['  Kindle  \n $2.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $34.36  \n\n\n   \n     3 New from $34.36         1 Collectible from $30.00      ', '  Paperback  \n $9.56  \n\n\n   \n     29 Used from $0.01      ', '  Mass Market Paperback  \n    \n                             from $18.99                \n\n\n   \n     1 Used from $18.99      ', '  Audio CD  \n $29.95  \n\n\n   \n     1 Used from $10.95         2 New from $14.97      '], '0140012796')",9.56,34.36,Fair Stood the Wind for France,Penguin,5,1977,H.E. Bates,3.95,"'Simple and direct in its characterisation and writing, <i>Fair Stood the Wind for France</i> is perhaps the finest novel of the war... The scenes are exquisitely done and the characters - tenderly and beautifully drawn - are an epitome of all that is best in the youth of the two countries. This is a fine book which makes the heart beat with pride.' The Telegraph<br /><br />When John Franklin brings his plane down into Occupied France at the height of the Second World war, there are two things in his mind - the safety of his crew and his own badly injured arm. It is a stroke of unbelievable luck when the family of a French farmer risk their lives to offer the airmen protection. During the hot summer weeks that follow, the English officer and the daughter of the house are drawn inexorably to each other.",,255.0,1495,24,81,330,569,491
1867,1934609072,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $11.06  \n\n\n   \n     10 Used from $6.90         3 Collectible from $42.50      ', '  Paperback  \n $15.95  \n\n\n   \n     43 Used from $1.18         13 New from $9.49         1 Collectible from $4.99      ', '  Mass Market Paperback  \n $6.05  \n\n\n   \n     12 Used from $1.88      '], '1934609072')",15.95,11.06,The Suspect (Paperback),Felony & Mayhem,17,2008,L.R. Wright,3.71,"In this, L.R. Wright's first mystery novel, we are introduced to RCMP Staff Sergeant Karl Alberg; and so begins the highly-acclaimed series featuring Karl and librarian Cassandra Mitchell.<br /><br />At eighty, George Wilcox hardly expected to crown his life by committing a murder. It had happened so quickly, so easily, so unexpectedly in the sleepy town on the Sunshine Coast of British Columbia:  a near-perfect crime that wraps Wilcox in a web of guilt, honor, and secrets of the past.  An unprovoked act that soon binds him to the warmhearted town librarian, Cassandra Mitchell, and her new romantic interest, zealous Staff Sergeant Alberg.  Together, this troubled trio find themselves caught up in a crime whose solution transcends the logic of pure justice.",,245.0,549,11,34,176,212,116
1868,1904799159,"(['  Hardcover  \n $40.00  \n\n\n   \n     6 Used from $28.87         4 New from $34.93      ', '  Paperback  \n $12.74  \n\n\n   \n     1 New from $12.74      '], '1904799159')",12.74,40.0,The Ecclesiastical History of the English People,Tiger of the Stripe,0,2007,Bede,3.84,"The venerable Bede (AD 672-735) was not the first historian of the British Isles, but he was the first to to list and master his documentary and oral sources. For a man who travelled little, he showed a great depth of understanding about the outside world, informing himself by commissioning others to copy documents in the Papal Regista and various episcopal and monastic archives. This new edition has been carefully revised by Gerrish Gray and is beautifully typeset in Bembo type.",,428.0,4187,57,276,1170,1460,1224
1871,1416916555,"(['  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $9.72  \n\n\n   \n     8 Used from $5.90      ', '  Paperback  \n $4.95  \n\n\n   \n     1 New from $4.95      ', '  Audio CD  \n $11.50  \n\n\n   \n     2 Used from $10.89      '], '1416916555')",4.95,9.72,Gideon The Cutpurse (Gideon),Not Avail,0,2006,Linda Buckley-Archer,3.72,"As Peter and Kate explore the awesome possibilities of time travel, they find themselves wondering whether it might be mankind's worst nightmare. This is an adventure set in a world of highwaymen, thieves and cutpurses.",,369.0,6345,202,540,1720,2233,1650
1872,0786278684,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $23.67  \n\n\n   \n     3 Used from $19.69      ', '  Paperback  \n $13.29  \n\n\n   \n     35 Used from $2.08         22 New from $12.69      ', '  Mass Market Paperback  \n $7.50  \n\n\n   \n     103 Used from $1.16         7 New from $9.58      ', '  Audio CD  \n $14.99  \n\n\n   \n     4 New from $11.26      '], '0786278684')",13.29,23.67,50 Harbor Street,Thorndike Press,2,2005,Debbie Macomber,4.13,"A New York Times Bestselling AuthorIn the fifth title of her New York Times bestselling series, Debbie Macomber returns to Cedar Cove, Washington, and the stories of its residents - including private investigator Roy McAfee and his wife, Corrie, who've been receiving puzzling anonymous messages in the mail. Simultaneous Publication With Harlequin's Standard Version",,512.0,10597,46,240,2152,3966,4193
1877,0756902738,"(['  Kindle  \n $9.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $26.16  \n\n\n   \n     100 Used from $1.25         9 New from $11.46         4 Collectible from $15.30      ', '  Paperback  \n $20.38  \n\n\n   \n     11 Used from $3.81         2 New from $16.70      ', '  Mass Market Paperback  \n $8.87  \n\n\n   \n     84 Used from $1.18         4 New from $18.43         3 Collectible from $9.84      ', '  Audio, Cassette  \n    \n                             from $79.99                \n\n\n   \n     1 Used from $79.99      '], '0756902738')",20.38,26.16,Where the Heart is,Perfection Learning,1,1999,Billie Letts,4.02,"This Oprah pick is the hilarious tale of teenager Novalee Nation, who sets out for a new life in California but finds herself stranded and pregnant in a Wal-Mart parking lot in Oklahoma. The eccentric inhabitants of the town -- including Sam Walton, the late owner of Wal-Mart -- pitch in to take care of Novalee in their own unusual ways. Read by Susie Breck. (Oprah's Book Club)",,376.0,238942,2642,9852,52192,89454,84802
1879,0297645781,"(['  Kindle  \n $11.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $6.97  \n\n\n   \n     11 Used from $2.99         1 Collectible from $15.00      ', '  Paperback  \n $22.99  \n\n\n   \n     27 Used from $1.95         13 New from $17.16      '], '0297645781')",22.99,6.97,The Parrot's Theorem,St. Martin's Press,37,2001,Denis Guedj,3.65,,,344.0,2769,90,285,743,1030,621
1883,0785778667,"(['  Kindle  \n $7.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $19.37  \n\n\n   \n     98 Used from $1.45         12 New from $14.00         14 Collectible from $7.50      ', '  Paperback  \n $7.25  \n\n\n   \n     80 Used from $1.38         1 New from $9.98         4 Collectible from $13.97      ', '  Audio CD  \n    \n                        \n    —\n             \n\n\n   \n  '], '0785778667')",7.25,19.37,"The Tangle Box (Magic Kingdom of Landover, #4)",Turtleback Books,0,1995,Terry Brooks,3.86,"OH, WHAT A TANGLED WEB...<br />Everything should have been quiet and pleasant for Ben Holiday, the former Chicago lawyer who became sovereign of the Magic Kingdom of Landover. But it wasn't.<br />Horris Kew, conjurer, confidence-man, and trickster, had returned to Landover from Ben's own world. Alas, Horris had not returned of his own volition--he had been sent by the Gorse, a sorcerer of great evil, whom Horris had unwittingly freed from the magic Tangle Box, where it had long ago been imprisoned by the fairy folk. Now it had returned to enslave those who had once dared condemn it. But first, it would rid Landover of all who could stand in its way...<br />Soon Ben found himself imprisoned within the gloom of the Tangle Box, lost in its mists and its labyrinthine ways. The only one who could free Ben from the Tangle Box was the lady Willow. But she had disappeared, was gone from Landover on a mysterious mission of her own....",,368.0,12238,88,706,3537,4426,3481
1884,0440000874,"(['  Kindle  \n $5.99  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  \n\n\n  \n Audiobook    \n  \n\n $0.00  \n\n\n \n\n\n   \n \n \n Free with your Audible trial    \n ', '  Hardcover  \n $26.00  \n\n\n   \n     14 Used from $3.21         6 New from $19.44      ', '  Paperback  \n $12.78  \n\n\n   \n     92 Used from $1.37         26 New from $10.95         1 Collectible from $10.00      '], '0440000874')",12.78,26.0,Layover,Berkley Books,496,2019,David      Bell,3.18,"<b>In this high concept psychological suspense novel from the <i>USA Today</i> bestselling author of <i>Somebody's Daughter</i>, a chance meeting with a woman in an airport sends a man on a </b><br /><b>pulse-pounding quest for the truth... </b><br /><br />Joshua Fields takes the same flights every week for work. His life is a series of departures and arrivals, hotels and airports. During yet another layover, Joshua meets Morgan, a beautiful stranger with whom he feels an immediate connection. When it's time for their flights, Morgan gets up to leave, leans over and passionately kisses Joshua, lamenting that they'll never see each other again.<br /><br />As Morgan slips away, Joshua is left feeling confused by what just happened between them. That's when he looks up and is shocked to see Morgan's face flashing on a nearby TV screen. He's even more shocked when he learns the reason why--Morgan is a missing person.<br /><br />What follows is a whirlwind, fast-paced journey filled with lies, deceit, and secrets to discover the truth about why Morgan is on the run. But when he finally thinks every mystery is solved, another rears its head, and Joshua's worst enemy may be his own assumptions about those around him...",,407.0,2849,148,504,1178,738,281
1885,0099472481,"(['  Kindle  \n $7.49  \n   \n  \n\n                                    Read with Our  Free App  \n\n    ', '  Hardcover  \n $18.30  \n\n\n   \n     8 Used from $14.32         1 New from $56.10         1 Collectible from $50.00      ', '  Paperback  \n $7.33  \n\n\n   \n     4 Used from $7.33         6 New from $9.64      ', '  Mass Market Paperback  \n    \n                             from $33.43                \n\n\n   \n     2 Used from $33.43      ', '  Audio, Cassette  \n $8.25  \n\n\n   \n     1 Used from $8.25      '], '0099472481')",7.33,18.3,The Military Philosophers (A Dance to the Music of Time #9),Arrow,9,2005,Anthony Powell,4.11,"The ninth novel in Anthony Powell's brilliant twelve-novel sequence, <i>A Dance to the Music of Time</i>.<br /><br />Discover the extraordinary life of Anthony Powell – captured by acclaimed biographer Hilary Spurling in <i>Anthony Powell: Dancing to the Music of Time</i> – available now in hardback and ebook from Hamish Hamilton.",,243.0,626,3,21,111,259,232
